date,country,arrivals,is_covid
2008-01-01,Australia,82778,0
2008-02-01,Australia,52457,0
2008-03-01,Australia,61681,0
2008-04-01,Australia,63079,0
2008-05-01,Australia,65901,0
2008-06-01,Australia,73802,0
2008-07-01,Australia,79776,0
2008-08-01,Australia,65465,0
2008-09-01,Australia,72816,0
2008-10-01,Australia,75866,0
2008-11-01,Australia,60257,0
2008-12-01,Australia,79278,0
2009-01-01,Australia,80008,0
2009-02-01,Australia,51144,0
2009-03-01,Australia,54821,0
2009-04-01,Australia,65046,0
2009-05-01,Australia,59136,0
2009-06-01,Australia,65796,0
2009-07-01,Australia,79439,0
2009-08-01,Australia,67152,0
2009-09-01,Australia,73407,0
2009-10-01,Australia,81622,0
2009-11-01,Australia,68570,0
2009-12-01,Australia,84158,0
2010-01-01,Australia,89584,0
2010-02-01,Australia,55364,0
2010-03-01,Australia,63659,0
2010-04-01,Australia,70079,0
2010-05-01,Australia,63517,0
2010-06-01,Australia,74597,0
2010-07-01,Australia,87289,0
2010-08-01,Australia,68222,0
2010-09-01,Australia,80293,0
2010-10-01,Australia,77097,0
2010-11-01,Australia,64152,0
2010-12-01,Australia,86705,0
2011-01-01,Australia,98023,0
2011-02-01,Australia,58135,0
2011-03-01,Australia,65885,0
2011-04-01,Australia,85297,0
2011-05-01,Australia,72365,0
2011-06-01,Australia,84371,0
2011-07-01,Australia,94690,0
2011-08-01,Australia,71953,0
2011-09-01,Australia,86076,0
2011-10-01,Australia,84509,0
2011-11-01,Australia,70012,0
2011-12-01,Australia,84723,0
2012-01-01,Australia,94946,0
2012-02-01,Australia,63878,0
2012-03-01,Australia,70960,0
2012-04-01,Australia,81927,0
2012-05-01,Australia,72641,0
2012-06-01,Australia,92951,0
2012-07-01,Australia,105570,0
2012-08-01,Australia,79292,0
2012-09-01,Australia,100891,0
2012-10-01,Australia,100138,0
2012-11-01,Australia,83972,0
2012-12-01,Australia,103207,0
2013-01-01,Australia,119592,0
2013-02-01,Australia,69470,0
2013-03-01,Australia,87652,0
2013-04-01,Australia,94285,0
2013-05-01,Australia,84444,0
2013-06-01,Australia,91231,0
2013-07-01,Australia,112743,0
2013-08-01,Australia,79221,0
2013-09-01,Australia,105179,0
2013-10-01,Australia,96454,0
2013-11-01,Australia,78324,0
2013-12-01,Australia,106584,0
2014-01-01,Australia,126119,0
2014-02-01,Australia,69119,0
2014-03-01,Australia,74578,0
2014-04-01,Australia,99811,0
2014-05-01,Australia,78280,0
2014-06-01,Australia,81558,0
2014-07-01,Australia,106641,0
2014-08-01,Australia,82448,0
2014-09-01,Australia,97642,0
2014-10-01,Australia,87565,0
2014-11-01,Australia,73262,0
2014-12-01,Australia,97855,0
2015-01-01,Australia,115584,0
2015-02-01,Australia,65009,0
2015-03-01,Australia,70708,0
2015-04-01,Australia,83497,0
2015-05-01,Australia,73965,0
2015-06-01,Australia,82755,0
2015-07-01,Australia,97583,0
2015-08-01,Australia,83063,0
2015-09-01,Australia,97071,0
2015-10-01,Australia,96340,0
2015-11-01,Australia,76369,0
2015-12-01,Australia,101624,0
2016-01-01,Australia,117073,0
2016-02-01,Australia,61900,0
2016-03-01,Australia,78701,0
2016-04-01,Australia,93320,0
2016-05-01,Australia,64175,0
2016-06-01,Australia,77805,0
2016-07-01,Australia,103689,0
2016-08-01,Australia,78888,0
2016-09-01,Australia,92210,0
2016-10-01,Australia,85395,0
2016-11-01,Australia,73308,0
2016-12-01,Australia,100849,0
2017-01-01,Australia,115930,0
2017-02-01,Australia,71416,0
2017-03-01,Australia,85040,0
2017-04-01,Australia,93927,0
2017-05-01,Australia,71970,0
2017-06-01,Australia,84840,0
2017-07-01,Australia,104873,0
2017-08-01,Australia,75171,0
2017-09-01,Australia,100987,0
2017-10-01,Australia,90940,0
2017-11-01,Australia,81822,0
2017-12-01,Australia,105085,0
2018-01-01,Australia,114846,0
2018-02-01,Australia,63229,0
2018-03-01,Australia,87152,0
2018-04-01,Australia,99046,0
2018-05-01,Australia,78210,0
2018-06-01,Australia,90665,0
2018-07-01,Australia,108107,0
2018-08-01,Australia,83185,0
2018-09-01,Australia,107933,0
2018-10-01,Australia,95096,0
2018-11-01,Australia,74827,0
2018-12-01,Australia,104928,0
2019-01-01,Australia,122672,0
