mae,rmse,mape,coverage,avg_width,origin,model,q_hat
56581.7692739433,65533.35053757605,21.292900848883786,1.0,430104.5459446222,2013-01-01,ARIMA,0.8062458486247994
80280.34806942087,103864.6713645851,36.33873486126018,1.0,574631.2219750587,2013-01-01,SARIMA,0.7564901847799561
35773.333068237225,49452.49988732385,16.71601813959556,0.75,183182.94586176972,2013-01-01,Prophet,0.3233037779314891
45035.28854006779,49090.576932163654,20.151715303396696,1.0,362519.61197056226,2014-01-01,ARIMA,0.7325547791715685
29543.834631333903,32398.075793603093,14.633441944258704,1.0,187730.98485507522,2014-01-01,SARIMA,0.3652532723266759
41958.22245782043,43996.408919930516,19.865622711225082,1.0,239787.08881474414,2014-01-01,Prophet,0.4323687781850527
47540.56993794447,77268.41225509407,14.458040891189828,0.75,174137.66521830397,2015-01-01,ARIMA,0.3896205562248536
34574.80908999247,43136.23477031619,12.379031290835442,1.0,693134.7706376952,2015-01-01,SARIMA,1.1485189206852748
70838.39103427595,80336.51530080751,26.07987579941457,1.0,216881.7712928096,2015-01-01,Prophet,0.5305919424921299
71089.7931347024,88976.60586666696,20.114929780163894,1.0,317812.6842126026,2016-01-01,ARIMA,0.5885022550894323
34939.56776087823,40742.71514325021,10.53822323685667,1.0,242623.57658360378,2016-01-01,SARIMA,0.41130920516880387
36403.59287802061,40477.51708341691,11.64966264453527,1.0,253836.8816104338,2016-01-01,Prophet,0.40670917099052417
45936.91014530179,53593.184282523216,12.887789269308335,1.0,449538.31013759,2017-01-01,ARIMA,0.6705686466649965
22761.842616256614,31232.092930514948,6.742632785512527,1.0,223988.13754679263,2017-01-01,SARIMA,0.33086166756872615
31050.13712641057,32685.36296992153,9.110009043545348,1.0,656873.9124357343,2017-01-01,Prophet,0.804598913348924
59160.79015802764,69053.1107046174,16.55506745677595,1.0,468657.2713994969,2018-01-01,ARIMA,0.6014631072160661
25884.418718855453,29844.645345504923,7.484425892795386,1.0,215095.92727022595,2018-01-01,SARIMA,0.27554159586365756
34207.40956487414,39528.29753249815,9.604513115890164,1.0,176313.67638336134,2018-01-01,Prophet,0.22212875333105409
